1	1	1
2	10	2
3	11	2
4	100	3
5	101	3
6	110	3
7	111	3
8	1000	4
9	1001	4
10	1010	4
11	1011	4
12	1100	4
13	1101	4
14	1110	4
15	1111	4
16	10000	5
17	10001	5
18	10010	5
19	10011	5
20	10100	5
21	10101	5
22	10110	5
23	10111	5
24	11000	5
25	11001	5
26	11010	5
27	11011	5
28	11100	5
29	11101	5
30	11110	5
31	11111	5
32	100000	6
33	100001	6
34	100010	6
35	100011	6
36	100100	6
37	100101	6
38	100110	6
39	100111	6
40	101000	6
41	101001	6
42	101010	6
43	101011	6
44	101100	6
45	101101	6
46	101110	6
47	101111	6
48	110000	6
49	110001	6
50	110010	6
51	110011	6
52	110100	6
53	110101	6
54	110110	6
55	110111	6
56	111000	6
57	111001	6
58	111010	6
59	111011	6
60	111100	6
61	111101	6
62	111110	6
63	111111	6
64	1000000	7
65	1000001	7
66	1000010	7
67	1000011	7
68	1000100	7
69	1000101	7
70	1000110	7
71	1000111	7
72	1001000	7
73	1001001	7
74	1001010	7
75	1001011	7
76	1001100	7
77	1001101	7
78	1001110	7
79	1001111	7
80	1010000	7
81	1010001	7
82	1010010	7
83	1010011	7
84	1010100	7
85	1010101	7
86	1010110	7
87	1010111	7
88	1011000	7
89	1011001	7
90	1011010	7
91	1011011	7
92	1011100	7
93	1011101	7
94	1011110	7
95	1011111	7
96	1100000	7
97	1100001	7
98	1100010	7
99	1100011	7
100	1100100	7
101	1100101	7
102	1100110	7
103	1100111	7
104	1101000	7
105	1101001	7
106	1101010	7
107	1101011	7
108	1101100	7
109	1101101	7
110	1101110	7
111	1101111	7
112	1110000	7
113	1110001	7
114	1110010	7
115	1110011	7
116	1110100	7
117	1110101	7
118	1110110	7
119	1110111	7
120	1111000	7
121	1111001	7
122	1111010	7
123	1111011	7
124	1111100	7
125	1111101	7
126	1111110	7
127	1111111	7
128	10000000	8
129	10000001	8
130	10000010	8
131	10000011	8
132	10000100	8
133	10000101	8
134	10000110	8
135	10000111	8
136	10001000	8
137	10001001	8
138	10001010	8
139	10001011	8
140	10001100	8
141	10001101	8
142	10001110	8
143	10001111	8
144	10010000	8
145	10010001	8
146	10010010	8
147	10010011	8
148	10010100	8
149	10010101	8
150	10010110	8
151	10010111	8
152	10011000	8
153	10011001	8
154	10011010	8
155	10011011	8
156	10011100	8
157	10011101	8
158	10011110	8
159	10011111	8
160	10100000	8
161	10100001	8
162	10100010	8
163	10100011	8
164	10100100	8
165	10100101	8
166	10100110	8
167	10100111	8
168	10101000	8
169	10101001	8
170	10101010	8
171	10101011	8
172	10101100	8
173	10101101	8
174	10101110	8
175	10101111	8
176	10110000	8
177	10110001	8
178	10110010	8
179	10110011	8
180	10110100	8
181	10110101	8
182	10110110	8
183	10110111	8
184	10111000	8
185	10111001	8
186	10111010	8
187	10111011	8
188	10111100	8
189	10111101	8
190	10111110	8
191	10111111	8
192	11000000	8
193	11000001	8
194	11000010	8
195	11000011	8
196	11000100	8
197	11000101	8
198	11000110	8
199	11000111	8
200	11001000	8
